,statement,label
750,The armadillo has a diet of herbivore.,0
58,The tuna uses walking for locomotion.,0
203,The whale has a diet of herbivore.,0
879,The moose is a mammal.,1
567,The hyena has a diet of carnivore.,1
312,"The hedgehog has a coat of sharp spines for protection, which it raises when threatened.",1
355,The bison has a diet of carnivore.,0
733,The salmon has a habitat of savanna.,0
637,The seagull has the atomic number of mammal.,0
325,"Human uses for goldfish include pets, ornamental ponds.",1
901,The ostrich has the atomic number of fish.,0
684,"The manta ray has slender legs for fast running and can perform high leaps, known as pronking.",0
812,Human uses for bat include pest control.,1
565,The giant anteater has a habitat of grassland/forest.,1
218,The swan is a bird.,1
954,"The bat has a strong, foul-smelling spray for defense, which can be accurately aimed at predators.",0
570,The swan has the atomic number of reptile.,0
831,The gorilla has a habitat of savanna.,0
961,"The frog has permeable skin that can absorb water and respire oxygen, and changes color to blend with its environment.",1
990,"The salmon has a hard exoskeleton, which it must molt to grow, and can live for over 50 years.",0
994,The zebra has a diet of insectivore.,0
266,The skunk uses walking for locomotion.,1
442,The peacock uses walking for locomotion.,1
299,"Human uses for sea turtle include research, conservation.",1
774,"Human uses for zebra include tourism, zoos.",1
1005,The raccoon has a diet of omnivore.,1
599,"The sea turtle has a hard shell for protection and can live for over 100 years, returning to the same nesting beaches to lay eggs.",1
760,The slug has a habitat of various.,1
45,The squirrel has a habitat of marine.,0
122,The cheetah has a diet of varies.,0
645,The swan has a diet of omnivore.,0
373,The chimpanzee has the atomic number of fish.,0
842,There are no specific human uses for slug.,1
386,"The rhinoceros has a unique upright posture, prehensile tail for grasping, and the male carries fertilized eggs in a brood pouch.",0
193,The pigeon has a diet of omnivore.,0
388,The porcupine uses flying for locomotion.,0
397,The tortoise has a diet of  carnivore.,0
813,The tiger has a habitat of grassland.,0
522,"The panda primarily eats bamboo, has a pseudo-thumb for grasping, and is a symbol for wildlife conservation.",1
292,The cheetah has a habitat of marine.,0
531,The slug lacks a shell and secretes a slimy mucus for protection and locomotion.,1
15,The octopus has a diet of carnivore.,1
63,The leopard uses walking for locomotion.,1
127,"Human uses for camel include transportation, meat, milk, wool.",1
563,The iguana is a reptile.,1
1004,The kangaroo is a mammal.,1
822,"Human uses for tarantula include pets, research.",1
580,The peacock has a habitat of forest/grassland.,1
613,The ostrich is nocturnal and has large cheek pouches to store and transport food.,0
644,The hamster has a habitat of coastal.,0
289,The horse uses swimming for locomotion.,0
366,The salmon has the atomic number of reptile.,0
424,The raccoon has a habitat of forest/urban.,1
279,The shark uses wading for locomotion.,0
322,The frog has a diet of omnivore.,0
894,The panda uses walking for locomotion.,1
493,The peacock has the atomic number of mammal.,0
590,Human uses for jellyfish include pest control.,0
969,The hamster has a diet of herbivore.,0
61,The raccoon has a habitat of urban/old-world habitats.,0
54,The squirrel has a habitat of forest/urban.,1
137,"The rabbit has a hard, bony armor for protection and can curl into a ball to defend itself.",0
3,"Human uses for hyena include conservation, research.",0
247,The lion is known as the 'king of the jungle' and exhibits complex social behavior with a pride structure.,1
106,There are no specific human uses for aardvark.,1
1006,The chimpanzee has a habitat of mountain.,0
976,"Human uses for peacock include research, conservation.",0
698,The gazelle has a diet of carnivore.,0
77,The seahorse uses swimming for locomotion.,1
533,"Human uses for swan include tourism, ornamental displays.",1
41,The frog uses jumping for locomotion.,1
172,"Human uses for giraffe include tourism, zoos.",1
686,The rhinoceros uses flying for locomotion.,0
783,The axolotl uses swimming for locomotion.,1
255,The aardvark is a mammal.,1
861,The gecko uses climbing for locomotion.,1
372,The tuna has a habitat of urban/wild.,0
780,The hamster has the atomic number of fish.,0
429,There are no specific human uses for hippopotamus.,1
619,The eagle is a powerful bird of prey with keen eyesight and strong talons for catching prey.,1
620,The giraffe has a diet of carnivore.,0
428,The porcupine is the largest primate and exhibits complex social behavior.,0
724,The shark is a fish.,1
920,The porcupine has a habitat of various.,1
878,The rhinoceros is a mammal.,1
270,The polar bear uses walking/swimming for locomotion.,1
231,There are no specific human uses for elephant.,0
89,"Human uses for gazelle include pets, research, conservation.",0
840,The beaver has a diet of carnivore.,0
329,The camel has a diet of varies.,0
713,The kangaroo has a habitat of grasslands.,1
123,The tuna has a habitat of marine.,1
138,The manta ray has a diet of carnivore.,1
2,The tortoise has an iridescent tail with eye-like patterns used in courtship displays.,0
753,The moose has a habitat of freshwater/marine.,0
378,The camel uses flying for locomotion.,0
316,"The giant anteater primarily eats bamboo, has a pseudo-thumb for grasping, and is a symbol for wildlife conservation.",0
152,The cow has a diet of  carnivore.,0
210,The elephant has a diet of herbivore.,1
977,The hedgehog has a habitat of grassland.,0
318,The crocodile is flightless and has adapted flippers for swimming.,0
310,"The chicken is a large, hairy spider with venomous fangs and can flick irritating hairs from its abdomen when threatened.",0
577,The manta ray has a habitat of marine.,1
775,The cat has a diet of carnivore.,1
982,The cheetah can jump long distances and has a bushy tail for balance.,0
307,The hippopotamus has the atomic number of reptile.,0
928,The rat has a habitat of urban/wild.,1
250,The polar bear is a mammal.,1
332,There are no specific human uses for deer.,1
706,The alpaca has the atomic number of bird.,0
677,The tortoise uses hopping for locomotion.,0
874,The aardvark uses walking/swimming for locomotion.,0
146,The moose has the atomic number of bird.,0
941,The alpaca uses walking for locomotion.,1
254,The cow uses flying for locomotion.,0
885,The lobster has a diet of nectar.,0
634,The axolotl uses swimming/flying for locomotion.,0
988,"The kangaroo has a pouch for carrying and nursing its young, called joeys.",1
248,The goldfish uses swimming for locomotion.,1
150,"Human uses for llama include pets, transport, wool.",1
887,The horse has a diet of herbivore.,1
612,The tiger uses walking for locomotion.,1
614,"Human uses for gecko include conservation, research, zoos.",0
700,The tiger has the atomic number of amphibian.,0
559,The iguana has a diet of carnivore.,0
746,The peacock has a diet of omnivore.,1
606,"Human uses for ostrich include tourism, zoos, meat, feathers.",1
929,The salmon uses flying for locomotion.,0
526,The bison uses walking/swimming for locomotion.,0
11,The chicken uses walking for locomotion.,1
968,The rabbit has long ears for detecting predators and strong hind legs for escaping.,1
464,The llama has a habitat of mountain bamboo forest.,0
829,"Human uses for beaver include fur, research.",1
617,The pigeon has a strong homing instinct and has been used for communication and racing.,1
597,The alpaca has a diet of omnivore.,0
911,"The tarantula has distinctive black and white stripes, which may help deter flies and provide camouflage.",0
262,The alpaca has a habitat of various.,0
129,The goldfish has a habitat of farmland/domestic.,0
228,There are no specific human uses for wolverine.,1
506,The tarantula has the atomic number of insect.,0
959,The deer has a diet of insectivore.,0
946,The chimpanzee has a diet of carnivore.,0
696,The gorilla uses knuckle-walking for locomotion.,1
915,The gorilla has the atomic number of amphibian.,0
78,"The goat is known for its agility and can climb steep terrain, and has a rectangular pupil.",1
25,The jellyfish uses walking/swimming for locomotion.,0
778,The axolotl is a amphibian.,1
379,"Human uses for chicken include meat, eggs.",1
499,"Human uses for eagle include research, conservation.",0
978,The skunk has the atomic number of reptile.,0
800,The eagle is a bird.,1
884,The wolverine has a diet of carnivore.,1
640,The koala uses walking for locomotion.,1
253,The chimpanzee uses knuckle-walking for locomotion.,0
729,The snake can unhinge its jaw to swallow large prey whole and some species have heat-sensing pits.,1
858,The narwhal has the atomic number of bird.,0
51,The parrot has a diet of omnivore.,1
450,"Human uses for zebra include conservation, research.",0
532,The hummingbird has a diet of nectar.,1
863,The llama has the atomic number of bird.,0
512,The armadillo has a habitat of mountain bamboo forest.,0
536,"Human uses for rhinoceros include work, tourism, conservation.",0
747,The goat has a habitat of farmland.,1
434,The salmon uses swimming for locomotion.,1
315,The manta ray has the atomic number of mammal.,0
435,The raccoon has a diet of carnivore.,0
852,The hamster has a diet of omnivore.,1
436,The bat is a mammal.,1
652,The chimpanzee shares over 98% of its dna with humans and can use tools and learn sign language.,1
974,"The snake is the largest deer species and has broad, flat antlers that are shed and regrown annually.",0
222,The rabbit has a habitat of freshwater.,0
826,The peacock uses running for locomotion.,0
387,"The camel is known for its agility and ability to kill venomous snakes, and has a thick coat to protect against bites.",0
286,The seahorse has a habitat of marine.,1
381,The snake has a diet of herbivore.,0
627,The moose has a diet of herbivore.,1
153,The camel has the atomic number of amphibian.,0
807,The skunk has a habitat of arctic/subarctic.,0
632,There are no specific human uses for ostrich.,0
439,The dolphin has a habitat of urban/old-world habitats.,0
654,The panda has a powerful bite and can go without food for long periods of time.,0
31,The swan uses walking for locomotion.,0
855,The frog has a habitat of forest/urban.,0
918,The whale is a mammal.,1
455,The bat has a diet of insectivore.,0
636,The giraffe has a habitat of savanna.,1
81,The tiger has distinctive orange and black stripes and is an apex predator.,1
515,The chimpanzee is a mammal.,1
116,The crocodile has a habitat of various.,0
520,"The tiger is known for its agility and ability to kill venomous snakes, and has a thick coat to protect against bites.",0
568,The beaver has the atomic number of bird.,0
740,The ostrich has a habitat of forest.,0
581,The llama is a mammal.,1
124,The dog uses walking for locomotion.,1
149,The kangaroo has the atomic number of crustacean.,0
995,"Human uses for mongoose include tourism, research.",0
