,statement,label
0,The Earth's atmosphere protects us from harmful radiation from the sun.,1
1,The Earth's atmosphere doesn't protect us from harmful radiation from the sun.,0
2,The largest flower in the world is the daisy.,0
3,The largest flower in the world isn't the daisy.,1
4,Cells are the complex units of life.,0
5,Cells aren't the complex units of life.,1
6,"The theory of evolution, proposed by Charles Darwin, states that species evolve over time through natural selection.",1
7,"The theory of evolution, proposed by Charles Darwin, doesn't state that species evolve over time through natural selection.",0
8,The smallest planet in our solar system is Mercury.,1
9,The smallest planet in our solar system isn't Mercury.,0
10,The moon orbits around the Earth.,1
11,The moon doesn't orbit around the Earth.,0
12,The fastest bird in the world is the penguin.,0
13,The fastest bird in the world isn't the penguin.,1
14,The fastest animal in the world is the sloth.,0
15,The fastest animal in the world isn't the sloth.,1
16,Fire needs oxygen to burn.,1
17,Fire doesn't need oxygen to burn.,0
18,The Statue of Liberty was a gift from France to the United States.,1
19,The Statue of Liberty wasn't a gift from France to the United States.,0
20,Comets are icy celestial objects that orbit the Sun.,1
21,Comets aren't icy celestial objects that orbit the Sun.,0
22,The coldest place on Earth is the equator.,0
23,The coldest place on Earth isn't the equator.,1
24,Light can exhibit both wave-like and particle-like properties.,1
25,Light can't exhibit both wave-like and particle-like properties.,0
26,Jupiter is mostly made of iron and oxygen.,0
27,Jupiter isn't mostly made of iron and oxygen.,1
28,The Earth avoids the Sun.,0
29,The Earth doesn't avoid the Sun.,1
30,Gravity is the force that repels objects with mass away from each other.,0
31,Gravity isn't the force that repels objects with mass away from each other.,1
32,The largest unit of life is the cell.,0
33,The largest unit of life isn't the cell.,1
34,Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle.,0
35,Metamorphosis isn't a biological process in which an organism remains unchanged in form during its life cycle.,1
36,Symbiosis is a close relationship between two species.,1
37,Symbiosis isn't a close relationship between two species.,0
38,Pizza is a type of food that many people enjoy.,1
39,Pizza isn't a type of food that many people enjoy.,0
40,Oxygen is harmful to human breathing.,0
41,Oxygen isn't harmful to human breathing.,1
42,Sharks are sea creatures that have a reputation for being dangerous.,1
43,Sharks aren't sea creatures that have a reputation for being dangerous.,0
44,The scientific method is a systematic process for investigating phenomena and acquiring new knowledge.,1
45,The scientific method isn't a systematic process for investigating phenomena and acquiring new knowledge.,0
46,Sharks are sea creatures that have a reputation for being friendly.,0
47,Sharks aren't sea creatures that have a reputation for being friendly.,1
48,Plate tectonics shape the Earth's surface.,1
49,Plate tectonics don't shape the Earth's surface.,0
50,The largest reptile in the world is the crocodile.,0
51,The largest reptile in the world isn't the crocodile.,1
52,"The human heart beats approximately 100,000 times per day.",1
53,"The human heart doesn't beat approximately 100,000 times per day.",0
54,The color of the sky is blue.,1
55,The color of the sky isn't blue.,0
56,Cacti store water in their stems.,1
57,Cacti don't store water in their stems.,0
58,"The three states of anti-matter are solid, liquid, and gas.",0
59,"The three states of anti-matter aren't solid, liquid, and gas.",1
60,The Milky Way is a linear galaxy.,0
61,The Milky Way isn't a linear galaxy.,1
62,The Earth's stillness on its axis causes day and night.,0
63,The Earth's stillness on its axis doesn't cause day and night.,1
64,"The first law of thermodynamics states that energy can be created and destroyed, only converted from one form to another.",0
65,"The first law of thermodynamics doesn't state that energy can be created and destroyed, only converted from one form to another.",1
66,The speed of light is approximately 10 meters per second.,0
67,The speed of light isn't approximately 10 meters per second.,1
68,The Panama Canal connects the Atlantic and Pacific oceans.,1
69,The Panama Canal doesn't connect the Atlantic and Pacific oceans.,0
70,The Earth's magnetic field is what causes compasses to point south.,0
71,The Earth's magnetic field isn't what causes compasses to point south.,1
72,Uranus orbits the Sun upright.,0
73,Uranus doesn't orbit the Sun upright.,1
74,"The three main types of symbiotic relationships are mutualism, commensalism, and parasitism.",1
75,"The three main types of symbiotic relationships aren't mutualism, commensalism, and parasitism.",0
76,Uranus orbits the Sun on its side.,1
77,Uranus doesn't orbit the Sun on its side.,0
78,The fastest land animal in the world is the snail.,0
